voltage,current,power,temperature,cooler_status,timestamp
220.43,1.94,427.63,24.51,False,2025-06-01 00:00:00
220.55,1.69,372.73,24.41,False,2025-06-01 00:01:00
222.44,1.68,373.7,24.58,False,2025-06-01 00:02:00
220.85,1.88,415.2,24.25,False,2025-06-01 00:03:00
219.83,1.85,406.69,24.92,False,2025-06-01 00:04:00
219.33,2.0,438.66,24.12,False,2025-06-01 00:05:00
219.77,1.86,408.77,24.92,False,2025-06-01 00:06:00
219.27,1.85,405.65,24.01,False,2025-06-01 00:07:00
220.95,1.86,410.97,24.98,False,2025-06-01 00:08:00
220.49,1.77,390.27,24.03,False,2025-06-01 00:09:00
221.42,1.7,376.41,24.56,False,2025-06-01 00:10:00
219.97,1.61,354.15,24.81,False,2025-06-01 00:11:00
219.64,1.87,410.73,24.33,False,2025-06-01 00:12:00
219.19,1.94,425.23,24.67,False,2025-06-01 00:13:00
219.22,1.76,385.83,24.25,False,2025-06-01 00:14:00
219.34,1.63,357.52,24.0,False,2025-06-01 00:15:00
220.86,1.85,408.59,24.66,False,2025-06-01 00:16:00
219.81,1.7,373.68,24.58,False,2025-06-01 00:17:00
219.71,1.68,369.11,24.73,False,2025-06-01 00:18:00
218.4,1.77,386.57,24.2,False,2025-06-01 00:19:00
219.37,1.81,397.06,24.59,False,2025-06-01 00:20:00
219.27,1.61,353.02,24.21,False,2025-06-01 00:21:00
219.97,1.56,343.15,24.4,False,2025-06-01 00:22:00
220.19,1.77,389.74,24.39,False,2025-06-01 00:23:00
219.55,1.85,406.17,24.94,False,2025-06-01 00:24:00
220.11,1.82,400.6,23.33,False,2025-06-01 00:25:00
220.02,1.68,369.63,22.56,False,2025-06-01 00:26:00
221.0,1.95,430.95,22.6,False,2025-06-01 00:27:00
220.56,1.73,381.57,24.35,False,2025-06-01 00:28:00
219.11,1.69,370.3,24.04,False,2025-06-01 00:29:00
220.62,1.76,388.29,24.25,False,2025-06-01 00:30:00
219.78,1.61,353.85,24.9,False,2025-06-01 00:31:00
219.89,1.61,354.02,24.27,False,2025-06-01 00:32:00
220.06,1.84,404.91,24.1,False,2025-06-01 00:33:00
219.34,1.87,410.17,24.62,False,2025-06-01 00:34:00
220.35,1.97,434.09,24.36,False,2025-06-01 00:35:00
219.86,1.71,375.96,24.55,False,2025-06-01 00:36:00
219.81,1.56,342.9,24.1,False,2025-06-01 00:37:00
219.01,1.63,356.99,24.77,False,2025-06-01 00:38:00
220.62,1.56,344.17,24.77,False,2025-06-01 00:39:00
219.18,1.62,355.07,24.48,False,2025-06-01 00:40:00
220.78,1.76,388.57,24.17,False,2025-06-01 00:41:00
219.25,1.92,420.96,24.98,False,2025-06-01 00:42:00
219.82,1.52,334.13,24.37,False,2025-06-01 00:43:00
219.58,1.61,353.52,24.69,False,2025-06-01 00:44:00
220.67,1.99,439.13,24.99,False,2025-06-01 00:45:00
220.26,1.59,350.21,24.21,False,2025-06-01 00:46:00
219.84,1.9,417.7,24.7,False,2025-06-01 00:47:00
220.4,1.91,420.96,24.25,False,2025-06-01 00:48:00
220.53,1.52,335.21,24.82,False,2025-06-01 00:49:00
220.89,1.53,337.96,24.77,False,2025-06-01 00:50:00
220.42,1.8,396.76,24.01,False,2025-06-01 00:51:00
220.15,1.55,341.23,24.87,False,2025-06-01 00:52:00
220.86,1.99,439.51,25.28,True,2025-06-01 00:53:00
219.9,1.87,411.21,24.38,False,2025-06-01 00:54:00
216.44,1.99,430.72,26.12,True,2025-06-01 00:55:00
219.88,1.89,415.57,24.48,False,2025-06-01 00:56:00
220.38,1.76,387.87,23.71,False,2025-06-01 00:57:00
220.88,1.67,368.87,24.53,False,2025-06-01 00:58:00
219.61,1.58,346.98,24.48,False,2025-06-01 00:59:00
219.54,1.67,366.63,24.39,False,2025-06-01 01:00:00
220.57,1.8,397.03,24.17,False,2025-06-01 01:01:00
219.83,1.92,422.07,24.93,False,2025-06-01 01:02:00
219.85,1.52,334.17,24.97,False,2025-06-01 01:03:00
219.87,1.82,400.16,24.96,False,2025-06-01 01:04:00
220.81,1.83,404.08,23.0,False,2025-06-01 01:05:00
220.55,1.96,432.28,24.16,False,2025-06-01 01:06:00
219.36,1.62,355.36,24.78,False,2025-06-01 01:07:00
220.8,1.55,342.24,24.84,False,2025-06-01 01:08:00
220.4,1.66,365.86,24.89,False,2025-06-01 01:09:00
219.72,1.82,399.89,24.02,False,2025-06-01 01:10:00
220.59,1.64,361.77,22.74,False,2025-06-01 01:11:00
220.35,1.65,363.58,24.99,False,2025-06-01 01:12:00
220.15,1.72,378.66,24.64,False,2025-06-01 01:13:00
219.07,1.56,341.75,26.06,True,2025-06-01 01:14:00
220.24,1.54,339.17,24.68,False,2025-06-01 01:15:00
219.28,1.9,416.63,24.29,False,2025-06-01 01:16:00
220.67,1.93,425.89,24.35,False,2025-06-01 01:17:00
220.93,1.81,399.88,24.44,False,2025-06-01 01:18:00
222.95,1.78,396.85,24.3,False,2025-06-01 01:19:00
219.71,1.74,382.3,25.18,True,2025-06-01 01:20:00
219.09,1.52,333.02,24.55,False,2025-06-01 01:21:00
219.07,1.52,332.99,24.36,False,2025-06-01 01:22:00
219.64,1.56,342.64,26.62,True,2025-06-01 01:23:00
219.59,1.54,338.17,24.11,False,2025-06-01 01:24:00
220.26,1.83,403.08,24.06,False,2025-06-01 01:25:00
219.36,1.66,364.14,24.6,False,2025-06-01 01:26:00
220.88,1.79,395.38,24.93,False,2025-06-01 01:27:00
216.96,1.85,401.38,24.59,False,2025-06-01 01:28:00
220.44,1.57,346.09,23.83,False,2025-06-01 01:29:00
219.35,1.53,335.61,24.39,False,2025-06-01 01:30:00
219.97,1.71,376.15,24.05,False,2025-06-01 01:31:00
220.49,1.65,363.81,24.94,False,2025-06-01 01:32:00
220.44,1.77,390.18,24.46,False,2025-06-01 01:33:00
219.31,1.8,394.76,24.4,False,2025-06-01 01:34:00
219.53,1.58,346.86,24.98,False,2025-06-01 01:35:00
219.39,1.79,392.71,24.87,False,2025-06-01 01:36:00
219.13,1.6,350.61,24.04,False,2025-06-01 01:37:00
218.99,1.52,332.86,24.39,False,2025-06-01 01:38:00
